
FOREST_NAME	WATERSHED_CODE	WATERSHED_NAME	WATERSHED_CONDITION_FS_AREA	TOTAL_WATERSHED_AREA_ACRES	FS_OWNERSHIP_PERCENT	NONFS_AREA_PERCENT	AQUATIC_BIOTA_CONDITION	RIPARIAN_WETLAND_VEG_CONDITION	WATER_QUALITY_CONDITION	WATER_QUANTITY_CONDITION	AQUATIC_HABITAT_CONDITION	ROADS_AND_TRAILS_CONDITION	SOIL_CONDITION	FIRE_EFFECTS_REGIME_CONDITION	FOREST_COVER_CONDITION	FOREST_HEALTH_CONDITION	INVASIVE_SPECIES_CONDITION	RANGELAND_VEGETATION_CONDITION	YEAR_PRIORITY_IDENTIFIED	PRINCIPAL_REASON	SELECTION_NARRATIVE	KNOWN_PARTNERS	APPROVAL_DATE	ESTIMATED_COMPLETION_DATE	ESSENTIAL_PROJECT_COUNT	ESSENTIAL_PROJECT_EST_COST	ACTUAL_COMPLETION_DATE	RESTORATION_ACTION_PLAN_IND
Tonto National Forest	150601050305	Dry Pocket Wash-Tonto Creek	Functioning at Risk	12420.7	100	0	Poor	Fair	Poor	Fair	Fair	Fair	Fair	Fair	----	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
George Washington And Jefferson National Forests	020802011502	North Creek-Jennings Creek	Functioning at Risk	22720.5	80	20	Fair	Good	Fair	Good	Poor	Fair	Fair	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Modoc National Forest	180200021103	Lower Turner Creek	Functioning Properly	11135.9	95	5	Poor	Good	Good	Good	Good	Fair	Good	Poor	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Ouachita National Forest	111102040304	Dutch Creek Outlet	Functioning at Risk	14875.8	29	71	Good	Poor	Poor	Good	Fair	Poor	Good	Fair	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
National Forests In Mississippi	080602050607	Turkey Creek-Sandy Creek	Functioning at Risk	14722.9	27	73	Good	Fair	Fair	Good	Poor	Fair	Poor	Fair	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	101201030401	Cheyenne River-Count Creek	Functioning at Risk	47980.6	9	91	Poor	Good	Good	Fair	Poor	Fair	Good	Good	----	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Olympic National Forest	171001010604	Bear Creek	Functioning at Risk	11596.4	62	38	Good	Poor	Good	Good	Fair	Poor	Fair	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102010610	Dry Bay-Frontal Frederick Sound	Functioning Properly	16740.4	70	30	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Nez Perce National Forest	170603020102	Upper East Fork Moose Creek	Functioning Properly	22456.2	100	0	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Poor	----	 	 	 	 	 	 	 	 	 	 
Lincoln National Forest	130600080301	Maverick Canyon	Functioning at Risk	39882	7	94	Fair	Fair	Good	Good	Fair	Poor	Fair	Poor	Poor	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
White River National Forest	140500050103	Lost Creek	Functioning Properly	13830.5	100	0	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Mark Twain National Forest	110100080501	Blair Creek	Functioning at Risk	27741.9	7	93	Good	Poor	Good	Fair	Poor	Fair	Fair	Poor	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
Lassen National Forest	180201210102	Willow Creek-North Fork Feather River	Functioning at Risk	31921.7	68	32	Fair	Fair	Good	Good	Fair	Poor	Good	Fair	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
San Bernardino National Forest	180702020104	Lower South Fork San Jacinto River	Functioning at Risk	14457.4	89	11	Fair	Good	Fair	Fair	Fair	Poor	Fair	Fair	Fair	Poor	Fair	Good	 	 	 	 	 	 	 	 	 	 
National Forests In Texas	120301010507	Lower Brushy Creek	Functioning Properly	21929.1	13	87	Fair	Good	Good	Fair	Fair	Good	Fair	Poor	Poor	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Wallowa Whitman National Forest	170601020508	Upper Cow Creek	Functioning Properly	13874	100	0	Good	Poor	Good	Good	Fair	Good	Good	Poor	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Uinta-Wasatch-Cache National Forest	160201020305	Pineview Reservoir-South Branch South Fork Ogden River	Impaired Function	24140.6	11	89	Poor	Poor	Poor	Poor	Poor	Poor	Good	Poor	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Wallowa Whitman National Forest	170502030504	Lower Anthony Creek	Functioning at Risk	12479.5	69	31	Fair	Good	Good	Poor	Poor	Poor	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Lewis And Clark National Forest	100302010601	Middle Fork Birch Creek	Functioning Properly	8507	100	0	Poor	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Idaho Panhandle National Forest	170102150306	Kalispell Creek	Functioning at Risk	25131.2	96	4	Poor	Fair	Poor	Good	Fair	Good	Good	Fair	Fair	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Nez Perce National Forest	170603050204	Lower American River	Functioning at Risk	15622.6	58	43	Good	Poor	Poor	Fair	Poor	Fair	Poor	Fair	Good	Fair	Good	----	 	 	 	 	 	 	 	 	 	 
Fremont-Winema National Forests	180102020202	Coyote Creek	Functioning Properly	9532.8	29	71	Poor	Good	Good	Good	Good	Poor	Good	Poor	Fair	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Rio Grande National Forest	130100011001	Lime Creek	Functioning at Risk	9817	94	6	Poor	Fair	Good	Good	Fair	Poor	Fair	Good	Good	Fair	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Tonto National Forest	150501000801	Whitlow Canyon	Functioning at Risk	23724.3	57	43	Fair	Poor	Poor	Good	Poor	Fair	Fair	Good	----	Good	Poor	Fair	 	 	 	 	 	 	 	 	 	 
Tonto National Forest	150602030207	Middle East Verde River	Functioning at Risk	18578.5	98	2	Fair	Fair	Poor	Fair	Fair	Poor	Poor	Fair	----	Good	Good	Poor	 	 	 	 	 	 	 	 	 	 
Bridger-Teton National Forest	170401020302	Gros Ventre River-Redmond Creek	Functioning Properly	25231.1	98	2	Good	Good	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190101010901	190101010901-Mount John Jay	Functioning Properly	14675.4	100	0	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Okanogan-Wenatchee National Forests	170200080704	Gold Creek	Functioning at Risk	38934.5	98	2	Fair	Poor	Good	Good	Poor	Fair	Fair	Poor	Fair	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Boise National Forest	170501230505	Upper Clear Creek	Functioning at Risk	16724.4	66	34	Poor	Fair	Good	Good	Poor	Poor	Good	Good	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Coconino National Forest	150602020607	Long Canyon	Functioning at Risk	11566.2	100	0	Fair	Good	Good	Fair	Good	Fair	Poor	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Tahoe National Forest	160501020201	Donner Creek	Functioning at Risk	18792.8	26	74	Poor	Good	Good	Poor	Fair	Fair	Good	Fair	Good	Poor	Good	Good	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	101201010304	Lower Porcupine Creek-Antelope Creek	Functioning at Risk	39408.7	36	64	Poor	Fair	Fair	Poor	Poor	Fair	Fair	Good	----	Good	Good	Poor	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	101201020203	Dry Fork Cheyenne River-Woody Creek	Functioning at Risk	35378	70	30	Poor	Good	Good	Fair	Poor	Fair	Good	Good	----	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Chippewa National Forest	070101020504	Sucker Creek	Functioning at Risk	20925.7	77	23	Fair	Fair	Fair	Good	Fair	Fair	Fair	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Daniel Boone National Forest	051001010403	Brushy Fork-Beaver Creek	Functioning at Risk	11070.1	30	70	Fair	Fair	Good	Poor	Poor	Poor	Fair	Fair	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Helena National Forest	100301010901	Greyson Creek	Functioning at Risk	25580.4	27	73	Fair	Fair	Good	Good	Fair	Poor	Fair	Fair	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
Santa Fe National Forest	130202010206	Rio Chiquito	Functioning at Risk	30188.8	62	38	Good	Fair	Good	Fair	Good	Poor	Poor	Poor	----	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Ashley National Forest	140401060602	Lodgepole Creek	Functioning at Risk	18177.4	71	29	Fair	Fair	Good	Fair	Good	Fair	Poor	Fair	Good	Fair	Fair	Good	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102040702	Jims Creek	Functioning Properly	14684.8	100	0	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Mt Hood National Forest	170701050502	Middle East Fork Hood River	Functioning Properly	16823.7	84	16	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	140500010401	Green Creek-Yampa River	Functioning Properly	9385.4	71	29	Poor	Good	Good	Fair	Good	Good	Good	Good	Poor	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102030502	190102030502	Functioning Properly	8181.6	97	3	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
National Forests In Florida	030801011802	Juniper Creek-Lake George	Functioning Properly	30612.5	98	2	Good	Good	Good	Fair	Good	Fair	Fair	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
George Washington And Jefferson National Forests	020802030102	Reed Creek	Functioning Properly	14104.1	19	82	Good	Good	Fair	Good	Poor	Good	Good	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Gila National Forest	150400040801	Little Dry Creek	Functioning Properly	33236.3	45	55	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	170402140201	Headwaters Beaver Creek	Functioning at Risk	11233.4	10	90	Fair	Fair	Poor	Good	Good	Good	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Huron Manistee National Forest	040601010804	North Branch White River	Functioning at Risk	29265.7	25	75	Fair	Fair	Good	Good	Fair	Fair	Fair	Fair	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Pike-San Isabel National Forest	110200060106	Pantleon Creek	Functioning Properly	15289.9	6	94	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Uinta-Wasatch-Cache National Forest	160102030206	Saddle Creek	Functioning at Risk	30880.3	68	32	Fair	Fair	Good	Fair	Fair	Poor	Poor	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102040807	Fishery Creek	Functioning Properly	35612.7	100	0	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Angeles National Forest	180701020102	Kentucky Springs Canyon-Santa Clara River	Functioning at Risk	12721.3	35	65	Poor	Fair	Good	Good	Fair	Poor	Fair	Poor	Poor	Fair	Poor	----	 	 	 	 	 	 	 	 	 	 
Modoc National Forest	180102041109	Copic Bay	Functioning Properly	21417.4	27	73	Good	Good	Good	Good	Good	Fair	Good	Poor	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Angeles National Forest	180902061103	Brainard Canyon-Little Rock Wash	Functioning at Risk	25692.5	14	86	Fair	Fair	Good	Poor	Fair	Good	Fair	Fair	Poor	Fair	Poor	----	 	 	 	 	 	 	 	 	 	 
Cibola National Forest	111001010206	Alamos Creek-Seneca Creek	Functioning Properly	20851.6	19	82	Good	Fair	Good	Good	Fair	Fair	Fair	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
San Juan National Forest	140801010606	Weisel Flat-Navajo River	Functioning at Risk	23636.9	25	75	Poor	Good	Good	Good	Good	Poor	Poor	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
National Forests In Mississippi	080302010707	Bagley Creek-Little Tallahatchie River	Functioning at Risk	33371.2	28	72	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Good	Fair	Good	Poor	----	 	 	 	 	 	 	 	 	 	 
Stanislaus National Forest	180400090901	Upper North Fork Tuolumne River	Functioning Properly	29615.4	75	25	Fair	Good	Good	Good	Fair	Poor	Fair	Good	Good	Poor	Good	Fair	 	 	 	 	 	 	 	 	 	 
Ouachita National Forest	111101050204	Shawnee Creek	Functioning at Risk	12402.3	76	24	Good	Fair	Fair	Good	Fair	Poor	Good	Fair	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Coronado National Forest	150503020306	Lower Tanque Verde Creek	Functioning Properly	22619.9	29	71	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Poor	Good	 	 	 	 	 	 	 	 	 	 
Nez Perce National Forest	170603050104	Lower Red River	Functioning at Risk	23935	94	6	Good	Fair	Poor	Fair	Poor	Poor	Poor	Fair	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Idaho Panhandle National Forest	170101040501	Upper Smith Creek	Functioning Properly	21672.9	75	25	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
White River National Forest	140100020202	Peru Creek-Snake River	Functioning at Risk	26685.1	88	12	Poor	Good	Poor	Good	Fair	Poor	Fair	Good	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Superior National Forest	090300020102	Sand River	Functioning Properly	39978.6	25	75	Good	Good	Fair	Good	Fair	Good	Fair	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
George Washington And Jefferson National Forests	060102050801	Upper North Fork Clinch River	Functioning at Risk	27328	28	72	Good	Good	Fair	Good	Poor	Fair	Poor	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Rio Grande National Forest	130100011006	Farmers Creek-Rio Grande	Functioning Properly	20064.1	81	19	Poor	Good	Fair	Good	Good	Fair	Fair	Good	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Tonto National Forest	150601030902	Chalk Creek	Functioning at Risk	13961.6	100	0	Fair	Fair	Fair	Fair	Fair	Poor	Poor	Good	----	Good	Poor	Fair	 	 	 	 	 	 	 	 	 	 
Grand Mesa Uncomp Gunnison National Forest	140200030507	West Pass Creek	Functioning at Risk	31858.6	86	14	Poor	Fair	Good	Good	Poor	Fair	Fair	Good	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Clearwater National Forest	170603070903	Lower Skull Creek	Functioning Properly	15250.4	100	0	Good	Good	Good	Good	Good	Poor	Good	Fair	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Nebraska National Forest	101402010505	Dead Horse Creek	Functioning at Risk	21877.7	15	85	Fair	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
National Forests In Alabama	060300050302	Upper Town Creek	Functioning Properly	49188.9	7	93	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Lassen National Forest	180201570205	Sulphur Creek-Deer Creek	Functioning Properly	25239.1	89	11	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Poor	Good	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	101800110103	Cherry Creek	Functioning Properly	13848	11	89	Poor	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Bighorn National Forest	100902060104	Clear Creek-Grommund Creek	Functioning at Risk	12923.2	78	23	Poor	Fair	Good	Good	Fair	Good	Fair	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Malheur National Forest	170702011002	Fields Creek	Functioning at Risk	13604.4	80	20	Fair	Good	Poor	Good	Fair	Fair	Good	Fair	Poor	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Malheur National Forest	171200040301	Upper Dick Miller Canyon	Functioning Properly	29851.4	54	46	Fair	Fair	Good	Fair	Fair	Good	Good	Fair	Poor	Good	Good	Poor	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102020103	Twelvemile Creek	Functioning Properly	7428.1	99	1	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Humboldt-Toiyabe National Forest	160402010502	Dry Creek	Functioning at Risk	208672.4	13	87	Poor	Fair	Fair	Poor	Fair	Fair	Poor	Fair	Poor	Good	Poor	Poor	 	 	 	 	 	 	 	 	 	 
Coronado National Forest	150400050702	Graveyard Wash	Functioning Properly	12976	52	48	Good	Good	Good	Good	Fair	Good	Good	Fair	Poor	Good	Poor	Good	 	 	 	 	 	 	 	 	 	 
Ouachita National Forest	111102040207	Cedar Creek-Petit Jean River	Functioning Properly	17696	64	36	Good	Fair	Good	Good	Good	Poor	Good	Fair	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Payette National Forest	170602060601	Beaver Creek	Functioning Properly	28018.8	100	0	Good	Good	Good	Good	Good	Good	Good	Good	Poor	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Coconino National Forest	150200150406	Dog Valley	Functioning at Risk	35495.7	13	87	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Good	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
National Forests In Mississippi	031700090506	Palmer Creek-Biloxi River	Functioning Properly	23806.7	34	66	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Good	Poor	----	 	 	 	 	 	 	 	 	 	 
George Washington And Jefferson National Forests	020802020504	Colliers Creek	Functioning Properly	23354.3	9	91	Good	Good	Fair	Good	Poor	Fair	Fair	Good	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Mt Baker-Snoqualmie National Forest	171100010204	Tomyhoi Creek	Functioning Properly	5867.6	100	0	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
White River National Forest	140100010906	Sheep Creek-Colorado River	Functioning Properly	24528.2	14	86	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Fremont-Winema National Forests	180102040501	Barnes Valley Creek	Functioning at Risk	28714.4	75	25	Poor	Fair	Poor	Fair	Good	Poor	Good	Poor	Fair	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Chequamegon-Nicolet National Forest	070500030205	Hay Creek	Functioning at Risk	17226.7	42	58	Good	Fair	Good	Fair	Poor	Fair	Fair	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Huron Manistee National Forest	040700070602	McGillis Creek	Functioning at Risk	14585.3	51	50	Fair	Fair	Fair	Good	Fair	Fair	Fair	Poor	Good	Fair	Good	----	 	 	 	 	 	 	 	 	 	 
Tonto National Forest	150602030404	Canyon Creek-Verde River	Functioning at Risk	27283.1	100	0	Poor	Good	Good	Good	Fair	Good	Poor	Good	----	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
San Juan National Forest	140300020511	Box Canyon-Disappointment Creek	Functioning Properly	10364.6	17	83	Good	Fair	Good	Good	Fair	Fair	Fair	Fair	Good	Good	Good	Poor	 	 	 	 	 	 	 	 	 	 
Malheur National Forest	170501160502	Muddy Creek-Malheur River	Functioning at Risk	16160.9	32	68	Fair	Fair	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Uinta-Wasatch-Cache National Forest	160102030401	Wellsville Canyon	Functioning Properly	15983.4	32	68	Good	Good	Good	Good	Good	Poor	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Ozark-St Francis National Forest	110100050305	Cave Creek	Functioning Properly	33618.8	36	64	Good	Fair	Good	Good	Fair	Poor	Good	Poor	Good	Good	Poor	Good	 	 	 	 	 	 	 	 	 	 
Superior National Forest	040101010303	City of Hovland-Frontal Lake Superior	Functioning Properly	16080.7	10	90	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Plumas National Forest	180201210606	Camp Creek-North Fork Feather River	Functioning at Risk	30072.6	57	43	Fair	Fair	Fair	Poor	Poor	Poor	Fair	Fair	Fair	Fair	Good	----	 	 	 	 	 	 	 	 	 	 
Chugach National Forest	190202010303	Simpson Bay-Frontal Prince William Sound	Functioning Properly	10876.5	24	76	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
National Forests In Texas	120302020805	Harmon Creek	Functioning Properly	35953.4	14	86	Fair	Good	Good	Fair	Fair	Good	Fair	Poor	Fair	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Boise National Forest	170501230506	Lower Clear Creek	Impaired Function	14849.9	47	53	Poor	Poor	Fair	Poor	Poor	Poor	Good	Good	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	160102010603	Lower Georgetown Creek	Functioning at Risk	11690.8	70	30	Good	Fair	Poor	Good	Good	Poor	Good	Fair	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Grand Mesa Uncomp Gunnison National Forest	140300030706	Atkinson Creek	Functioning Properly	22114.3	27	73	Poor	Good	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Coconino National Forest	150200150301	Upper San Francisco Wash	Functioning at Risk	34423.7	90	11	Fair	Fair	Fair	Fair	Fair	Poor	Good	Fair	Good	Good	Poor	Good	 	 	 	 	 	 	 	 	 	 
National Forests In Mississippi	080302010801	Upper Big Spring Creek	Functioning at Risk	25035.6	7	93	Good	Fair	Fair	Fair	Good	Good	Poor	Good	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Bridger-Teton National Forest	170401030406	Upper Willow Creek-Hoback River	Functioning Properly	23910.6	100	0	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Idaho Panhandle National Forest	170101040707	Mission Creek	Functioning at Risk	19945.3	48	52	Fair	Fair	Good	Good	Fair	Fair	Fair	Fair	Poor	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Chugach National Forest	190202011109	Galena Bay-Frontal Valdez Arm	Functioning Properly	17399	8	92	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
White River National Forest	140100011101	Sunnyside Creek	Functioning Properly	19048	22	78	Poor	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Umatilla National Forest	170701030205	Camp Creek-Meacham Creek	Functioning Properly	16810	94	7	Good	Fair	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Arapaho-Roosevelt National Forest	140100010303	Onahu Creek-Colorado River	Functioning at Risk	24385	44	56	Poor	Good	Good	Fair	Good	Poor	Poor	Good	Poor	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Mark Twain National Forest	110100030302	Cedar Creek-Swan Creek	Functioning at Risk	18849.9	39	61	Good	Poor	Good	Fair	Poor	Fair	Good	Poor	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Fishlake National Forest	160300050104	Scipio Valley-Devils Canyon	Functioning Properly	44777.9	17	83	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Deschutes National Forest	170703010908	Abbot Creek	Functioning Properly	6382.6	97	3	Fair	Good	Good	Good	Good	Poor	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Coronado National Forest	150502030505	Alder Wash	Functioning Properly	18266.3	47	53	Good	Good	Good	Fair	Good	Good	Good	Poor	Poor	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Stanislaus National Forest	180400100305	Griswold Creek	Functioning Properly	33060.7	35	65	Fair	Good	Good	Good	Fair	Poor	Good	Good	Good	Poor	Good	----	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102030403	190102030403	Functioning Properly	9192.5	83	17	Good	Poor	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
George Washington And Jefferson National Forests	020802010702	Dry Run	Functioning at Risk	17258.4	58	42	Good	Good	Poor	Good	Fair	Fair	Poor	Poor	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Salmon-Challis National Forest	170602060407	Wilson Creek	Functioning Properly	24158	100	0	Good	Good	Good	Good	Good	Fair	Good	Poor	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Monongahela National Forest	050500030402	Clover Creek-Greenbrier River	Functioning at Risk	24736.8	12	88	Fair	Good	Poor	Good	Fair	Fair	Poor	Good	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Apache-Sitgreaves National Forest	150200050308	Mortensen Wash	Functioning at Risk	19429.6	91	9	Fair	Fair	Good	Good	Poor	Poor	Good	Poor	Poor	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Dixie National Forest	150100030102	Skull Valley Wash	Functioning Properly	14387.8	10	90	Fair	Good	Good	Good	Good	Poor	Good	Fair	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Grand Mesa Uncomp Gunnison National Forest	140200040303	Robinson Creek	Functioning Properly	11956.3	99	1	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Santa Fe National Forest	130600010401	El Rito	Functioning at Risk	28240.6	71	29	Fair	Fair	Good	Fair	Good	Poor	Poor	Fair	----	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Salmon-Challis National Forest	170602020311	Lawson Creek	Functioning Properly	12684.4	57	43	Good	Fair	Fair	Good	Fair	Fair	Good	Poor	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
Uinta-Wasatch-Cache National Forest	140401070203	West Fork Smiths Fork	Functioning Properly	34051.2	78	22	Good	Good	Good	Good	Good	Poor	Good	Fair	Fair	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Daniel Boone National Forest	051002020304	Gays Creek-Middle Fork Kentucky River	Functioning at Risk	10208.4	6	94	Fair	Fair	Poor	Poor	Fair	Good	Good	Fair	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Humboldt-Toiyabe National Forest	160401090603	Lamance Creek-Big Cottonwood Creek	Functioning at Risk	23738.6	43	57	Fair	Poor	Fair	Fair	Fair	Fair	Fair	Fair	Poor	Good	Poor	Fair	 	 	 	 	 	 	 	 	 	 
Fremont-Winema National Forests	180102040801	Whiteline Reservoir	Functioning at Risk	28180.8	40	60	Poor	Fair	Good	Good	Good	Poor	Good	Poor	Fair	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Salmon-Challis National Forest	170602040101	Upper Texas Creek	Functioning Properly	30527.6	48	52	Good	Good	Good	Good	Good	Poor	Good	Poor	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
