FORESTNAME,HUC12_CODE,HUC12_NAME,USFS_COND,TOT_ACRES,USFS_PERC,NONFS_PERC,AQ_BIOTA,RIPARIAN,WATER_QUAL,WATER_QUAN,AQ_HABITAT,ROAD_TRAIL,SOIL_COND,FIRE_COND,FOREST_COV,FOR_HEALTH,TER_INV_SP,RANGE_VEG,PRIOR_YR,PRICPL_REA,SEL_NARAT,KNWN_PART,APRVL_DATE,EST_CMP_DA,ES_PRJ_CNT,ES_PRJ_CST,ACT_CMP_DA,RESTPLN_IN
Black Hills National Forest,"101201090903",Newton Fork-Spring Creek,Functioning at Risk,24423.000,78.0,22.0,Poor,Fair,Fair,Good,Fair,Poor,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101401020204",Upper Cottonwood Creek,Functioning Properly,35426.600,33.0,67.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201110205",Anderson Draw-Cheyenne River,Functioning Properly,15912.000,7.0,93.0,Fair,Fair,Fair,Good,Fair,Good,Good,Poor,----,Good,Good,Fair,,,,,,,,,,
Nebraska National Forest,"101401020207",Lower Cottonwood Creek,Functioning Properly,22491.700,10.0,90.0,Good,Fair,Good,Good,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201100302",Antelope Creek,Functioning Properly,22094.200,20.0,80.0,Good,Fair,Good,Fair,Good,Good,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101401040105",Lower North Fork Medicine Creek,Functioning Properly,17012.500,26.0,74.0,Good,Good,Good,Fair,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101401040106",Engen Dam,Functioning Properly,10896.100,39.0,61.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201110503",Upper Bull Creek,Functioning Properly,15129.500,42.0,59.0,Good,Fair,Good,Fair,Good,Fair,Good,Fair,----,Good,Good,Good,,,,,,,,,,
National Forests In North Carolina,"030401040204",Clarks Creek,Functioning at Risk,21240.700,6.0,94.0,Fair,Good,Fair,Good,Poor,Poor,Good,Poor,Good,Good,Fair,----,,,,,,,,,,
Black Hills National Forest,"101201090801",Grizzly Bear Creek-Battle Creek,Functioning at Risk,25197.800,80.0,20.0,Poor,Fair,Good,Fair,Fair,Poor,Fair,Poor,Fair,Fair,Good,----,,,,,,,,,,
Black Hills National Forest,"101201090803",Deadman Gulch Creek-Battle Creek,Functioning Properly,29538.200,29.0,71.0,Good,Good,Good,Good,Good,Poor,Fair,Poor,Poor,Fair,Fair,----,,,,,,,,,,
Nebraska National Forest,"101201110104",Lower Sage Creek,Functioning Properly,13906.100,47.0,53.0,Good,Fair,Good,Good,Good,Good,Good,Poor,----,Good,Fair,Fair,,,,,,,,,,
Nebraska National Forest,"101401020302",Upper South Fork Bad River,Functioning at Risk,21358.000,40.0,60.0,Fair,Fair,Good,Fair,Poor,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101401020105",Lower Whitewater Creek,Functioning Properly,31077.700,57.0,43.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Fair,Fair,,,,,,,,,,
Black Hills National Forest,"101201070501",Upper Pass Creek,Functioning Properly,31628.400,95.0,5.0,Good,Fair,Good,Good,Good,Fair,Fair,Poor,Poor,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101401020503",Brady Creek,Functioning Properly,21524.900,22.0,78.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101401020103",Upper Whitewater Creek,Functioning Properly,26018.800,79.0,21.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402020102",Town of Conata,Functioning Properly,28503.700,46.0,54.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Fair,Fair,,,,,,,,,,
Black Hills National Forest,"101201060402",Lightning Creek-Red Canyon Creek,Functioning Properly,20462.000,87.0,13.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101402020804",Fifteen Creek,Functioning Properly,28863.300,57.0,43.0,Fair,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402020104","101402020104",Functioning Properly,10572.300,38.0,62.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Fair,Fair,,,,,,,,,,
Black Hills National Forest,"101201070502",Middle Pass Creek,Functioning Properly,26650.200,82.0,18.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Poor,Fair,Good,----,,,,,,,,,,
Black Hills National Forest,"101201090603",Glen Erin Creek-French Creek,Functioning at Risk,17419.400,45.0,55.0,Poor,Fair,Good,Fair,Fair,Poor,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
Black Hills National Forest,"101201060401",Fourmile Creek,Functioning Properly,10810.700,66.0,34.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Fair,----,,,,,,,,,,
Nebraska National Forest,"101201091103",Indian Creek,Functioning at Risk,22900.300,64.0,36.0,Fair,Fair,Good,Good,Fair,Fair,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402020805",101402020805-White River,Functioning at Risk,16300.200,43.0,57.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402012301",Upper Cain Creek,Functioning Properly,22731.000,29.0,72.0,Good,Good,Good,Good,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402020103",Hurley Butte-White River,Functioning at Risk,15239.100,20.0,80.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Fair,----,Good,Poor,Good,,,,,,,,,,
Nebraska National Forest,"101402020101",Boquet Table,Functioning Properly,28789.700,76.0,24.0,Good,Fair,Good,Fair,Good,Fair,Good,Fair,----,Good,Fair,Fair,,,,,,,,,,
Nebraska National Forest,"101402020601","101402020601",Functioning Properly,14203.300,24.0,76.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Fair,Fair,,,,,,,,,,
Nebraska National Forest,"101402020808",White River-101402020808,Functioning at Risk,25428.500,11.0,89.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Poor,----,Good,Good,Good,,,,,,,,,,
National Forests In North Carolina,"030401030501",Betty McGees Creek-Uwharrie River,Functioning Properly,20037.900,12.0,88.0,Fair,Good,Fair,Good,Poor,Poor,Good,Poor,Good,Good,Good,----,,,,,,,,,,
Nebraska National Forest,"101402012302",Lower Cain Creek,Functioning Properly,21591.400,18.0,82.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402020605",Rake Creek-White Creek,Functioning at Risk,25428.700,38.0,62.0,Fair,Fair,Good,Fair,Fair,Good,Good,Fair,----,Good,Good,Fair,,,,,,,,,,
Black Hills National Forest,"101201090201",Upper Beaver Creek,Functioning at Risk,22753.400,73.0,27.0,Fair,Fair,Good,Good,Fair,Poor,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101201091102",Big Corral Draw-Cheyenne River,Functioning at Risk,24562.400,37.0,63.0,Fair,Fair,Fair,Fair,Poor,Fair,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402020602",Town of Interior-White River,Functioning at Risk,15394.000,5.0,95.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201090701",Red Shirt Creek,Functioning at Risk,14868.500,65.0,36.0,Fair,Fair,Good,Fair,Fair,Fair,Good,Good,----,Good,Good,Fair,,,,,,,,,,
Nebraska National Forest,"101201091101",Nevis Draw Creek-Cheyenne River,Functioning at Risk,26261.200,13.0,87.0,Fair,Fair,Fair,Good,Poor,Good,Good,Fair,----,Good,Good,Fair,,,,,,,,,,
Nebraska National Forest,"101402012105",Big Hollow Creek,Functioning Properly,19435.600,22.0,78.0,Good,Fair,Good,Good,Good,Fair,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Black Hills National Forest,"101201090401",South Fork Lame Johnny Creek,Functioning at Risk,11929.200,26.0,74.0,Good,Fair,Good,Good,Poor,Poor,Fair,Poor,Poor,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101402020604",101402020604-White River,Functioning at Risk,10525.900,29.0,71.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201090702",Pass Creek-Cheyenne River,Functioning at Risk,25582.900,19.0,81.0,Fair,Fair,Poor,Good,Poor,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Black Hills National Forest,"101201090101",Upper Cold Brook,Functioning Properly,27319.600,60.0,40.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402020803",Craven Creek-White River,Functioning Properly,17059.600,12.0,88.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Black Hills National Forest,"101201060403",Pleasant Valley-Red Canyon Creek,Functioning Properly,19249.600,88.0,12.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101201090608",Dry Creek-French Creek,Functioning at Risk,27393.700,25.0,75.0,Fair,Fair,Good,Fair,Fair,Fair,Good,Good,----,Good,Good,Fair,,,,,,,,,,
Black Hills National Forest,"101201090202",Middle Beaver Creek,Functioning at Risk,21927.200,37.0,63.0,Good,Fair,Good,Good,Fair,Poor,Fair,Poor,Poor,Fair,Good,----,,,,,,,,,,
Black Hills National Forest,"101201070505",Pass Creek-East Pass Creek,Functioning Properly,24493.600,58.0,42.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Poor,Fair,Fair,Good,,,,,,,,,,
Black Hills National Forest,"101201090203",Highland Creek,Functioning Properly,14142.700,10.0,91.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Poor,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101201090704",Brush Creek-Cheyenne River,Functioning at Risk,24426.900,10.0,90.0,Fair,Fair,Fair,Fair,Poor,Good,Good,Good,----,Good,Good,Fair,,,,,,,,,,
Nebraska National Forest,"101201090607",South Fork French Creek,Functioning at Risk,13101.300,18.0,82.0,Fair,Fair,Good,Fair,Fair,Fair,Good,Good,----,Good,Good,Fair,,,,,,,,,,
Black Hills National Forest,"101201060405",Hawkwright Creek,Functioning Properly,17264.800,47.0,53.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201090505",Cottonwood Creek,Functioning Properly,28157.500,10.0,90.0,Fair,Fair,Fair,Good,Fair,Good,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201090507",Squaw Humper Table-Cheyenne River,Functioning at Risk,29752.100,28.0,72.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Good,----,Good,Good,Fair,,,,,,,,,,
Black Hills National Forest,"101201060404",Nitche Spring-Red Canyon Creek,Functioning Properly,26703.500,8.0,92.0,Good,Fair,Good,Good,Good,Fair,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
National Forests In North Carolina,"030401040402",Big Town Creek-Little River,Functioning at Risk,27580.900,5.0,95.0,Fair,Good,Fair,Good,Poor,Poor,Good,Poor,Good,Fair,Fair,----,,,,,,,,,,
National Forests In North Carolina,"030203010404",Harlowe Creek,Functioning at Risk,7958.700,11.0,89.0,Fair,Good,Fair,Good,Poor,Fair,Fair,Fair,Good,Good,Good,----,,,,,,,,,,
National Forests In North Carolina,"030203010202",Hunters Creek,Functioning Properly,21766.500,88.0,12.0,Fair,Good,Fair,Good,Fair,Fair,Fair,Fair,Good,Good,Good,----,,,,,,,,,,
National Forests In North Carolina,"030401040401",Cheek Creek,Functioning at Risk,20719.600,11.0,89.0,Fair,Good,Fair,Good,Poor,Poor,Fair,Poor,Good,Good,Fair,----,,,,,,,,,,
Black Hills National Forest,"101201090102",Lower Cold Brook,Functioning Properly,17798.500,47.0,53.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101201090504",Jim Wilson Canyon-Cheyenne River,Functioning at Risk,21437.500,29.0,71.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Good,----,Good,Good,Good,,,,,,,,,,
Black Hills National Forest,"101201060406",Craven Canyon,Functioning Properly,16013.300,51.0,50.0,Good,Fair,Good,Good,Good,Poor,Fair,Fair,Good,Fair,Good,Good,,,,,,,,,,
Black Hills National Forest,"101201090103",Cottonwood Springs Creek,Functioning Properly,16903.300,15.0,85.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
Black Hills National Forest,"101201060201",Cheyenne River-Moss Agate Creek,Functioning Properly,25790.900,35.0,65.0,Good,Fair,Good,Good,Good,Fair,Fair,Fair,Good,Fair,Good,----,,,,,,,,,,
Black Hills National Forest,"101201090104",Hot Brook,Functioning Properly,20385.500,12.0,88.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101201060203",Cheyenne River-Driftwood Creek,Functioning Properly,30040.000,45.0,55.0,Good,Fair,Good,Good,Good,Good,Good,Fair,----,Good,Good,Fair,,,,,,,,,,
Black Hills National Forest,"101201060407",White Draw-Red Canyon Creek,Functioning Properly,23191.700,34.0,66.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201090503",First Black Canyon,Functioning Properly,13707.900,60.0,40.0,Fair,Fair,Good,Fair,Fair,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201090502",Lower Hay Canyon,Functioning Properly,21607.700,22.0,78.0,Good,Fair,Good,Good,Good,Good,Good,Good,----,Good,Good,Good,,,,,,,,,,
Black Hills National Forest,"101201060206",Chilson Canyon,Functioning Properly,19923.100,15.0,85.0,Good,Fair,Good,Good,Good,Fair,Fair,Fair,Good,Fair,Good,----,,,,,,,,,,
National Forests In North Carolina,"030401040202",Wood Run-Lake Tillery,Functioning at Risk,11358.600,38.0,62.0,Fair,Good,Fair,Good,Poor,Poor,Good,Poor,Good,Good,Poor,----,,,,,,,,,,
National Forests In North Carolina,"030202040504",Cherry Point-Hancock Creek,Functioning Properly,18154.900,41.0,59.0,Fair,Good,Fair,Good,Poor,Fair,Good,Fair,Good,Good,Good,----,,,,,,,,,,
National Forests In North Carolina,"030401040306",Eury Dam-Little River,Functioning at Risk,31951.900,11.0,89.0,Fair,Good,Fair,Fair,Poor,Poor,Fair,Poor,Good,Fair,Fair,----,,,,,,,,,,
National Forests In North Carolina,"030202040602",Clubfoot Creek,Functioning at Risk,23611.900,24.0,76.0,Fair,Good,Poor,Good,Poor,Fair,Fair,Poor,Good,Good,Good,----,,,,,,,,,,
National Forests In North Carolina,"030202040301",Mill Creek,Functioning at Risk,23049.900,55.0,45.0,Fair,Good,Fair,Good,Poor,Poor,Fair,Fair,Good,Good,Fair,----,,,,,,,,,,
National Forests In North Carolina,"030401040305",Rocky Creek,Functioning at Risk,18792.800,19.0,81.0,Fair,Good,Fair,Good,Poor,Poor,Good,Fair,Fair,Good,Fair,----,,,,,,,,,,
National Forests In North Carolina,"030202040303",Headwaters Brice Creek,Functioning Properly,28772.700,62.0,38.0,Good,Good,Fair,Good,Fair,Fair,Fair,Fair,Good,Good,Fair,----,,,,,,,,,,
National Forests In North Carolina,"030202040502",Cherry Point Marine Corps Air Station-Slocum Creek,Functioning at Risk,37613.200,25.0,75.0,Fair,Good,Fair,Good,Poor,Fair,Fair,Fair,Good,Good,Good,----,,,,,,,,,,
National Forests In North Carolina,"030202040304",Outlet Brice Creek,Functioning at Risk,13661.300,46.0,54.0,Fair,Good,Poor,Good,Poor,Fair,Fair,Fair,Good,Good,Fair,----,,,,,,,,,,
National Forests In North Carolina,"030401030505",Outlet Uwharrie River,Functioning at Risk,20265.900,57.0,43.0,Fair,Good,Fair,Good,Poor,Poor,Fair,Poor,Good,Good,Poor,----,,,,,,,,,,
National Forests In North Carolina,"030401040303",Densons Creek,Functioning at Risk,22263.500,6.0,94.0,Fair,Good,Fair,Good,Poor,Poor,Good,Poor,Good,Good,Fair,----,,,,,,,,,,
Black Hills National Forest,"101201060207",Cheyenne River-Little Tepee Creek,Functioning at Risk,35103.400,29.0,71.0,Poor,Fair,Good,Good,Fair,Fair,Fair,Fair,Good,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101402011404",West Fork Willow Creek,Functioning Properly,16183.700,7.0,93.0,Good,Good,Good,Good,Good,Good,Good,Good,----,Good,Good,Good,,,,,,,,,,
Black Hills National Forest,"101201060208",Cheyenne River-Tepee Creek,Functioning Properly,30738.800,11.0,89.0,Good,Fair,Good,Good,Good,Poor,Fair,Fair,Good,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101201090501",Upper Hay Canyon,Functioning Properly,23422.500,61.0,39.0,Good,Fair,Good,Fair,Fair,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402011402",Cedar Bluff Creek,Functioning Properly,20018.700,12.0,88.0,Good,Good,Good,Good,Good,Good,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402011401",Cortney Creek,Functioning Properly,18000.200,24.0,76.0,Good,Good,Good,Good,Good,Good,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402011302",Kennedy Creek,Functioning Properly,11096.000,39.0,61.0,Good,Fair,Good,Fair,Fair,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402011303",North Fork Blacktail Creek-Blacktail Creek,Functioning Properly,20913.700,34.0,66.0,Good,Fair,Good,Fair,Fair,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201060304",Coal Creek,Functioning at Risk,26308.800,37.0,63.0,Fair,Fair,Good,Fair,Fair,Good,Fair,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402011305",Lower South Branch Blacktail Creek,Functioning Properly,15622.400,22.0,78.0,Good,Good,Good,Good,Good,Good,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201060506",Antelope Hollow-Horsehead Creek,Functioning Properly,28164.500,6.0,94.0,Fair,Fair,Good,Fair,Fair,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201080307",Long Hollow Creek,Functioning Properly,22807.700,9.0,91.0,Good,Fair,Good,Fair,Fair,Fair,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402011304",Upper South Branch Blacktail Creek,Functioning Properly,17147.500,50.0,50.0,Good,Fair,Good,Good,Good,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201080303",North Fork Duck Creek,Functioning Properly,12720.300,17.0,83.0,Good,Fair,Good,Good,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201060503",Wayside Butte-Horsehead Creek,Functioning at Risk,17852.800,29.0,71.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201060502",Duck Creek-Horsehead Creek,Functioning at Risk,17865.500,7.0,94.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201060501",Medicine Creek-Horsehead Creek,Functioning at Risk,28342.500,41.0,59.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201080206",Indian Creek-Camp Creek,Functioning Properly,37056.600,40.0,60.0,Fair,Fair,Good,Fair,Fair,Good,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201080204",Indian Creek-Alkali Creek,Functioning at Risk,36074.300,60.0,40.0,Fair,Fair,Good,Fair,Poor,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201060301",Upper Cottonwood Creek-Angostura Reservoir,Functioning Properly,41310.100,11.0,89.0,Fair,Fair,Good,Fair,Fair,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201060302",Middle Cottonwood Creek-Angostura Reservoir,Functioning at Risk,32039.700,20.0,80.0,Fair,Fair,Good,Fair,Fair,Good,Fair,Fair,----,Good,Good,Fair,,,,,,,,,,
Nebraska National Forest,"101201060303",Lower Cottonwood Creek-Angostura Reservoir,Functioning at Risk,38206.000,56.0,44.0,Fair,Fair,Good,Fair,Fair,Good,Fair,Fair,----,Good,Good,Fair,,,,,,,,,,
Nebraska National Forest,"101201060202",Moss Agate Creek,Functioning Properly,35058.900,36.0,64.0,Good,Good,Good,Good,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201080301",Long Branch Creek,Functioning at Risk,27686.200,68.0,33.0,Fair,Fair,Fair,Fair,Fair,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Black Hills National Forest,"101201070308",Line Creek-Beaver Creek,Functioning Properly,26970.500,42.0,58.0,Good,Fair,Good,Good,Good,Fair,Fair,Poor,Poor,Fair,Good,----,,,,,,,,,,
Black Hills National Forest,"101201070503",Teepe Canyon,Functioning Properly,48291.400,48.0,52.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Poor,Fair,Fair,----,,,,,,,,,,
Black Hills National Forest,"101201070405",Whoopup Creek,Functioning Properly,51308.300,89.0,12.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Poor,Fair,Good,----,,,,,,,,,,
Black Hills National Forest,"101201070406",Roby Canyon,Functioning Properly,51972.900,87.0,13.0,Good,Good,Good,Good,Good,Poor,Fair,Poor,Poor,Fair,Fair,----,,,,,,,,,,
Black Hills National Forest,"101201070401",Beaver Creek-Bear Run,Functioning at Risk,44237.900,44.0,56.0,Poor,Fair,Good,Good,Good,Fair,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
Nebraska National Forest,"101402010602",Big Bordeaux Creek,Functioning at Risk,31646.700,31.0,69.0,Fair,Fair,Good,Good,Fair,Fair,Good,Fair,Poor,Good,Good,Fair,,,,,,,,,,
Nebraska National Forest,"101402010301",Dirty Creek,Functioning Properly,10590.800,37.0,63.0,Good,Fair,Good,Good,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201090809",Outlet Battle Creek,Functioning Properly,18327.300,17.0,83.0,Fair,Fair,Fair,Good,Poor,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402011306",Outlet Black Tail Creek,Functioning Properly,25019.700,20.0,80.0,Good,Fair,Good,Good,Fair,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101201080205",Oat Creek,Functioning Properly,19062.200,23.0,77.0,Good,Fair,Good,Good,Good,Good,Good,Fair,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101500040405",Buckham Spring-Niobrara River,Functioning Properly,21579.500,35.0,65.0,Good,Good,Good,Good,Good,Good,Fair,Fair,----,Good,Good,Good,,,,,,,,,,
Black Hills National Forest,"101202020901",Headwaters Alkali Creek,Functioning Properly,28111.400,6.0,94.0,Good,Good,Good,Good,Good,Fair,Fair,Poor,Good,Fair,Fair,----,,,,,,,,,,
Nebraska National Forest,"101401010101",Headwaters Antelope Creek,Functioning Properly,25505.300,61.0,39.0,Good,Fair,Good,Fair,Good,Good,Good,Fair,----,Good,Poor,Fair,,,,,,,,,,
Black Hills National Forest,"101201090901",Headwaters Spring Creek,Functioning at Risk,23107.600,90.0,10.0,Poor,Fair,Fair,Good,Poor,Fair,Fair,Poor,Good,Fair,Fair,----,,,,,,,,,,
Nebraska National Forest,"101402010802",Madden Creek,Functioning Properly,18444.800,31.0,69.0,Good,Fair,Good,Fair,Good,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402010801",Bohemian Creek,Functioning Properly,25333.400,9.0,91.0,Good,Good,Good,Good,Good,Fair,Good,Good,----,Good,Good,Good,,,,,,,,,,
Nebraska National Forest,"101402010805",Alkali Creek,Functioning Properly,13214.100,10.0,90.0,Good,Good,Good,Good,Good,Good,Good,Good,----,Good,Good,Good,,,,,,,,,,
Black Hills National Forest,"101202030201",Cold Springs Creek,Functioning at Risk,44979.800,48.0,52.0,Fair,Fair,Good,Good,Good,Fair,Fair,Poor,Good,Fair,Poor,----,,,,,,,,,,
Black Hills National Forest,"101202030202",Grand Canyon,Functioning Properly,33135.900,89.0,11.0,Good,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Poor,----,,,,,,,,,,
Black Hills National Forest,"101202030105",Crow Creek-Redwater Creek,Functioning at Risk,26140.700,44.0,56.0,Fair,Fair,Good,Good,Good,Poor,Fair,Poor,Good,Fair,Good,----,,,,,,,,,,
Daniel Boone National Forest,"051002040103",Middle Sturgeon Creek,Functioning at Risk,18151.400,23.0,77.0,Good,Fair,Fair,Good,Fair,Fair,Fair,Fair,Good,Fair,Fair,----,,,,,,,,,,
Nebraska National Forest,"101500050405",Lower Steer Creek,Functioning at Risk,33091.500,83.0,17.0,Fair,Fair,Good,Good,Poor,Fair,Fair,Fair,----,Good,Good,Fair,,,,,,,,,,
Daniel Boone National Forest,"051002040303",Hardwick Creek,Functioning at Risk,17486.700,8.0,92.0,Good,Fair,Good,Good,Fair,Good,Poor,Fair,Good,Good,Fair,----,,,,,,,,,,
Daniel Boone National Forest,"051002040504",Cow Creek,Functioning at Risk,11178.800,16.0,84.0,Fair,Good,Good,Good,Fair,Fair,Poor,Fair,Good,Good,Fair,----,,,,,,,,,,
Daniel Boone National Forest,"051002040503",Ross Creek-Kentucky River,Functioning at Risk,30022.900,12.0,88.0,Fair,Good,Fair,Good,Fair,Fair,Fair,Fair,Good,Fair,Fair,----,,,,,,,,,,
Chippewa National Forest,"090300060101",Turtle River,Functioning at Risk,31042.200,46.0,54.0,Fair,Fair,Fair,Good,Good,Fair,Fair,Poor,Good,Good,Fair,----,,,,,,,,,,
Chippewa National Forest,"090300060102",Jessie Lake,Functioning at Risk,23594.200,43.0,57.0,Fair,Fair,Poor,Good,Fair,Fair,Fair,Poor,Good,Good,Fair,----,,,,,,,,,,
Chippewa National Forest,"090300060103",Headwaters Bowstring River,Functioning at Risk,29010.200,48.0,52.0,Fair,Fair,Fair,Good,Poor,Fair,Fair,Poor,Good,Good,Fair,----,,,,,,,,,,
Chippewa National Forest,"090300060104",Grouse Creek,Functioning at Risk,15277.500,7.0,93.0,Fair,Fair,Fair,Good,Fair,Fair,Fair,Fair,Good,Good,Fair,----,,,,,,,,,,
Chippewa National Forest,"090300060105",Bowstring Lake,Functioning at Risk,29868.100,25.0,75.0,Fair,Fair,Fair,Good,Fair,Fair,Fair,Poor,Good,Good,Fair,----,,,,,,,,,,
Chippewa National Forest,"090300060106",Sand Lake,Functioning at Risk,26590.400,49.0,51.0,Fair,Fair,Fair,Good,Fair,Fair,Fair,Poor,Good,Good,Fair,----,,,,,,,,,,
